"Year","State","Force","Unemployed","Employed","Ratio"
"2018","NC",4981845,194517,4787328,0.0390451730232474
"2018","ND",404302,10546,393756,0.0260844616153272
"2018","NE",1020205,28513,991692,0.0279483045074274
"2018","NH",761750,19239,742511,0.0252563176895307
"2018","NJ",4422943,183376,4239567,0.0414601770811878
"2018","NM",940362,46539,893823,0.0494905153547251
"2018","NV",1500379,68419,1431960,0.0456011447774196
"2018","NY",9574705,393647,9181058,0.0411132248983128
"2018","OH",5754940,263349,5491591,0.0457605118385248
"2018","OK",1841876,62504,1779372,0.0339349663060923
"2018","OR",2104519,87365,2017154,0.0415130488249334
"2018","PA",6424425,275788,6148637,0.0429280441440285
"2018","PR",1084096,99538,984558,0.0918165918885412
"2018","RI",555807,22636,533171,0.0407263672461844
"2018","SC",2323214,79555,2243659,0.0342435092075031
"2018","SD",459462,13860,445602,0.0301657155542787
"2018","TN",3244928,113266,3131662,0.0349055510630744
"2018","TX",13848097,533882,13314215,0.0385527339965917
"2018","UT",1572137,48978,1523159,0.0311537734942947
"2018","VA",4331384,128585,4202799,0.0296868160384764
"2018","VT",346061,9223,336838,0.0266513707120999
"2018","WA",3793095,170797,3622298,0.0450284002905279
"2018","WI",3133301,94006,3039295,0.03000222449104
"2018","WV",783351,41170,742181,0.0525562614970811
"2018","WY",289576,11755,277821,0.0405938337431279
